row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
148	52601	8.350 sec	Upstream	0x12	9	0	256	0
149	52606	8.350 sec	Upstream	0x12	15	0	256	0
150	54285	8.351 sec	Upstream	0x12	0	0	256	0
151	54338	8.353 sec	Upstream	0x11	4	0	256	0
152	54621	8.353 sec	Upstream	0x12	10	0	256	0
153	54905	8.353 sec	Upstream	0x11	1	0	256	0
154	54909	8.353 sec	Upstream	0x12	6	0	256	0
155	54916	8.353 sec	Upstream	0x12	12	0	256	0
156	54925	8.353 sec	Upstream	0x12	2	0	256	0
157	54930	8.353 sec	Upstream	0x12	8	0	256	0
158	54937	8.353 sec	Upstream	0x12	14	0	256	0
159	54944	8.353 sec	Upstream	0x12	0	0	256	0
160	54949	8.353 sec	Upstream	0x12	5	0	256	0
161	54956	8.353 sec	Upstream	0x12	11	0	256	0
162	56648	8.354 sec	Upstream	0x12	1	0	256	0
163	56655	8.354 sec	Upstream	0x12	7	0	256	0
164	56660	8.354 sec	Upstream	0x12	13	0	256	0
165	56663	8.354 sec	Upstream	0x12	3	0	256	0
166	56676	8.354 sec	Upstream	0x12	9	0	256	0
167	56679	8.354 sec	Upstream	0x12	15	0	256	0
168	56684	8.354 sec	Upstream	0x12	0	0	256	0
169	56691	8.354 sec	Upstream	0x12	4	0	256	0
170	57728	8.361 sec	Downstream	0x1	10	0	NA	NA
171	57731	8.361 sec	Upstream	0x12	10	0	256	0
172	57733	8.361 sec	Downstream	0x3	0	0	NA	NA
173	57735	8.361 sec	Downstream	0x1	1	0	NA	NA
174	57739	8.361 sec	Upstream	0x12	1	0	256	0
175	57741	8.361 sec	Downstream	0x3	0	0	NA	NA
176	59962	8.376 sec	Downstream	0x1	6	0	NA	NA
177	59965	8.376 sec	Upstream	0x12	6	0	256	0
178	59967	8.376 sec	Downstream	0x1	12	0	NA	NA
179	59970	8.376 sec	Upstream	0x12	12	0	256	0
